57,"Certified Energy Auditor",CEA,"Evaluate how well your home holds heat or cold",1742867564653,1742867564653
58,"Home Energy Professional",HEP,"Evaluate how well your home holds heat or cold",1742867564653,1742867564653
59,"Air Leakage Control Installer",BPI-ALCI,"Fix or repair issues that prevent your house from holding heat or cold",1742867564653,1742867564653
60,"BPI Air Conditioning & Heat Pump Professional",BPI-ACHPP,"Install and repair refrigerant-based heating and cooling equipment",1742867564653,1742867564653
